timestamp,Эхо Москвы
2020-12-06 18:32:45.945992947,6942
2020-12-06 18:32:51.020575285,6947
2020-12-06 18:32:56.114490509,6950
2020-12-06 18:33:01.196710825,6954
2020-12-06 18:33:06.280386448,6973
2020-12-06 18:33:11.356503487,6967
2020-12-06 18:33:16.423735619,6965
2020-12-06 18:33:21.611464739,6965
2020-12-06 18:33:26.731816053,6973
2020-12-06 18:33:31.818046093,6998
2020-12-06 18:33:36.896841288,6998
2020-12-06 18:33:41.972807407,7005
2020-12-06 18:33:47.056308031,7025
2020-12-06 18:33:52.133467913,7025
2020-12-06 18:33:57.207746744,7021
2020-12-06 18:34:02.336617231,7039
2020-12-06 18:34:07.430276632,7046
2020-12-06 18:34:12.510066508,7056
2020-12-06 18:34:17.583912611,7069
2020-12-06 18:34:22.655594587,7074
2020-12-06 18:34:27.780013084,7066
2020-12-06 18:34:32.966126919,7088
2020-12-06 18:34:38.052711248,7082
2020-12-06 18:34:43.131142615,7104
2020-12-06 18:34:48.243631363,7148
2020-12-06 18:34:53.366010189,7149
2020-12-06 18:34:58.480516911,7142
2020-12-06 18:35:03.563116312,7172
2020-12-06 18:35:08.668677807,7182
2020-12-06 18:35:13.753244638,7182
2020-12-06 18:35:18.835783482,7214
2020-12-06 18:35:23.939880133,7217
2020-12-06 18:35:29.223462582,7204
2020-12-06 18:35:34.305946112,7222
2020-12-06 18:35:39.384181023,7231
2020-12-06 18:35:44.500372171,7232
2020-12-06 18:35:49.609510183,7238
2020-12-06 18:35:54.688366890,7259
2020-12-06 18:35:59.821510553,7273
2020-12-06 18:36:04.906615257,7295
2020-12-06 18:36:10.014924526,7302
2020-12-06 18:36:15.136651516,7310
2020-12-06 18:36:20.251463413,7334
2020-12-06 18:36:25.316790342,7346
2020-12-06 18:36:30.393613577,7348
2020-12-06 18:36:35.469157219,7371
2020-12-06 18:36:40.545953274,7376
2020-12-06 18:36:45.665188551,7375
2020-12-06 18:36:50.805769444,7409
2020-12-06 18:36:55.933853865,7421
2020-12-06 18:37:01.006509781,7425
2020-12-06 18:37:06.097034216,7448
2020-12-06 18:37:11.231796741,7461
2020-12-06 18:37:16.313051462,7454
2020-12-06 18:37:21.397240400,7475
2020-12-06 18:37:26.476412773,7477
2020-12-06 18:37:31.554303408,7516
2020-12-06 18:37:36.640708685,7511
2020-12-06 18:37:41.761103868,7508
2020-12-06 18:37:46.875442505,7536
2020-12-06 18:37:51.997021437,7547
2020-12-06 18:37:57.080530405,7555
2020-12-06 18:38:02.197574377,7580
2020-12-06 18:38:07.272576094,7585
2020-12-06 18:38:12.356763601,7573
2020-12-06 18:38:17.439508677,7584
2020-12-06 18:38:22.524893760,7596
2020-12-06 18:38:27.642059088,7598
2020-12-06 18:38:32.730011463,7634
2020-12-06 18:38:37.854536533,7629
2020-12-06 18:38:42.931436777,7634
2020-12-06 18:38:48.019696236,7657
2020-12-06 18:38:53.136069536,7674
2020-12-06 18:38:58.213964939,7676
2020-12-06 18:39:03.296198368,7696
2020-12-06 18:39:08.390090466,7708
2020-12-06 18:39:13.464480162,7697
2020-12-06 18:39:18.544166327,7716
2020-12-06 18:39:23.651605606,7714
2020-12-06 18:39:28.726355553,7705
2020-12-06 18:39:33.805703402,7734
2020-12-06 18:39:38.897848129,7725
2020-12-06 18:39:43.966888428,7712
2020-12-06 18:39:49.045155525,7733
2020-12-06 18:39:54.131901979,7750
2020-12-06 18:39:59.210356474,7751
2020-12-06 18:40:04.291443825,7772
2020-12-06 18:40:09.387382030,7783
2020-12-06 18:40:14.474335194,7772
2020-12-06 18:40:19.665544748,7794
2020-12-06 18:40:24.784446001,7804
2020-12-06 18:40:29.851144552,7779
2020-12-06 18:40:34.941650867,7796
2020-12-06 18:40:40.026886940,7794
2020-12-06 18:40:45.122410536,7800
2020-12-06 18:40:50.205655575,7819
2020-12-06 18:40:55.329072475,7819
2020-12-06 18:41:00.409021378,7794
2020-12-06 18:41:05.492548943,7808
2020-12-06 18:41:10.574957132,7813
2020-12-06 18:41:15.657641411,7813
2020-12-06 18:41:20.743160725,7842
2020-12-06 18:41:25.830851793,7859
2020-12-06 18:41:30.968564034,7838
2020-12-06 18:41:36.049007416,7861
2020-12-06 18:41:41.126551867,7887
2020-12-06 18:41:46.259481192,7902
2020-12-06 18:41:51.359251499,7902
2020-12-06 18:41:56.462900639,7884
2020-12-06 18:42:01.544780493,7884
2020-12-06 18:42:06.619983196,7920
2020-12-06 18:42:11.690715313,7943
2020-12-06 18:42:16.790560722,7943
2020-12-06 18:42:21.892176628,7980
2020-12-06 18:42:26.967387199,7966
2020-12-06 18:42:32.053861618,7977
2020-12-06 18:42:37.127324104,7984
2020-12-06 18:42:42.202224016,7986
2020-12-06 18:42:47.275825262,8012
2020-12-06 18:42:52.351892471,8017
2020-12-06 18:42:57.433438540,8008
2020-12-06 18:43:02.551155567,8022
2020-12-06 18:43:07.666597366,8037
2020-12-06 18:43:12.788511753,8024
2020-12-06 18:43:17.890522480,8044
2020-12-06 18:43:22.980355978,8056
2020-12-06 18:43:28.070865154,8046
2020-12-06 18:43:33.178986549,8054
2020-12-06 18:43:38.259622574,8065
2020-12-06 18:43:43.332209587,8054
2020-12-06 18:43:48.412943602,8076
2020-12-06 18:43:53.480105162,8091
2020-12-06 18:43:58.563477993,8076
